,,,,,,,,,,,,,,,,,
,VIDEO,,,,,,,,VOICE,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Essential,Growth,Beyond,,,,,,Free,Start,Creator,Accelaration,Pro,,,
,Creatomate ,56,120,290,,,,,ElevenLabs,0,7,13,105,350,,,
,credits,2000,10000,50000,,,,,voix,3,10,30,160,660,,,
,,,,,,,,,chars,,60000,200000,1000000,4000000,,,
,,,,,,,,,,,,"0,15","0,12","0,9",,,
,,,,,,,,,,,,,,,,,
,How to calculate video credit costs,,,,,,,,,Une minute d'audio coûte environ 1000 caractères.,,,,,,,
,,,,,,,,,,1000,60,200,1000,4000,,,
,"To find out how much it costs to generate a video, click ""Single Export"" in the template editor.",,,,,,,,,Min / user,6,"6,666666667","6,25","6,060606061",,,
,"To put it another way, 10,000 credits are equivalent to:",,,,,,,,,,,,,,,,
,"(10,000 * 100,000,000) / (1280 * 720 * 25) = 43,402 seconds ≈ 12 hours of video",,,,,,,,Les calculs et les seuils sont fait à partir de cette api car c'est la plus limitante,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Or, if you're rendering at 60 frames per second:",,,,,,,,,,,,,,,,
,"(10,000 * 100,000,000) / (1280 * 720 * 60) = 18,084 seconds ≈ 5 hours of video",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Credits,Pixels,Res,,FPS,,,,,,,,,,,,
,,"100 000 000,00","921 600,00",,"30,00","60,00",mins of video,Price / min,/10,/30,/160,/660,,,,,
,"2 000,00",,,,"120,56","60,28",,"0,9289728","6,02816358","2,00938786",,,,,,,
,"10 000,00",,,,"602,816358","301,408179",,"0,3981312","30,1408179","10,0469393","1,883801119",,,,,,
,50000,,,,"3014,08179","1507,040895",,"0,19243008","150,7040895","50,2346965","9,419005594",,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Si 10 videos plan growth jusqu'à 30 utilisateurs, au-delà contacter support",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,LLM price ,,"1 000 000,00",,,,,,,,,,,,,,
,,,,,,,,,,APIFY,,,,,,,
,model,input,output,unit in,unit out,,,,,Apify,free,starter,scale,,,,
,gpt-4o,"2,5",10,"0,0000025","0,00001",,,,,,,43,199,,,,
,gpt-4.1,2,8,"0,000002","0,000008",,,,,compute unit,0.4,0.4,0.3,,,,
,gpt-4.1-mini,"0,4","1,6","0,0000004","0,0000016",,,,,,,,,,,,
,gpt-4o-mini,"0,15","0,6","0,00000015","0,0000006",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,videos,,,,,,
,,,,,,,,,,Profile ,"10,00","100,00",,,,,
,,,,,,,,,,,0.1,0.50,,,,,
,Analysis,,,input,output,total cosst,,,,,,,,,,,
,Recommendations,,890,592,298,,,,,,,,,,,,
,performance,,16241,15971,270,,,,,,,,,,,,
,content,,22519,22232,287,,,,,,,,,,,,
,profile,,10636,10210,426,,,,,,,,,,,,
,,,,,,,,,,Actor start,"0,01",$0.0035,,,,,
,,,,,,,,,,Result,"0,00",$0.0017,,,,,
,,,,,,,,,,Add-on: date filter applied,$0.0013,$0.0006,,,,,
,gpt-4o,Recommendations,,,,"0,00446",,,,Add-on: popularity filter applied,$0.0013,$0.0006,,,,,
,,performance,,,,"0,0426275",,,,Add-on: video download,"0,00",$0.0006,,,,,
,,content,,,,"0,05845",,,,Add-on: scrape as in [country],$0.0013,$0.0006,,,,,
,,profile,,,,"0,029785",,,,,,,,,,,
,,,,,,"0,1353225",,,,,,,,,,,
,,,,,,,,,,Free user cost ,Profile scraping,video scraping,,,,,
,,,,,,,,,,"0,06","0,04","0,013",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,gpt-4.1,Recommendations,,,,"0,003568",,,,Paid user cost,,,,,,,
,,performance,,,,"0,034102",,,,"0,51","0,38","0,013",,,,,
,,content,,,,"0,04676",,,,,,,,,,,
,,profile,,,,"0,023828",,,,,,,,,,,
,,,,,,"0,108258",,,,,,,,,,,
,,,,,,,,,USERS,,,,UNIT,,,,
,,,,,,,,,PAID COST,,COST,,PAID,"0,505",,,
,gpt-4.1-mini,Recommendations,,,,"0,0007136",,,"50,5",100,"5,6",,FREE,"0,056",,,
,,performance,,,,"0,0068204",,,505,1000,56,,,,,,
,,content,,,,"0,009352",,,5050,10000,560,,,,,,
,,profile,,,,"0,0047656",,,,,,,,,,,
,,,,,,"0,0216516",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,FREE USER COST,,"0,108258",,,,,,,,,,,
,,,,PAID USER COST,,"0,433032",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,FREE USERS COST,,"0,164258","0,2",,PER PAID USERS,,,,,,,,,,,
,,10,2,,,2%,,,,,,,,,,,
,,30,6,,,500,100,,,,,,,,,,
,,160,32,,,1500,300,,,,,,,,,,
,,660,132,,,8000,1600,,,,,,,,,,
,,,,,,33000,6600,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,USERS PAID,,SCRAPING,,LLM,,VOICE,,,VIDEO,,,,TOTAL,,,
,,,,,,,,,,,,,,10,,30,
,,,,,,,10,30,,VIDEO,10,30,,BRUT,2%,BRUT,2%
,10,,40,,"4,33032",,"13,5","16,5",,,120,120,,"177,83032","277,83032","180,83032","280,83032"
,30,,40,,"12,99096",,"78,66666667",212,,,120,290,,"251,6576267","551,6576267","251,6576267","854,99096"
,160,,40,,"69,28512",,"105,45","107,85",,,290,"923,664384",,"504,73512","2104,73512","1140,799504","2740,799504"
,660,,"333,3",,"285,80112",,"353,5454545","371,5454545",,,"1270,038528","3810,115584",,"2242,685103","8842,685103","4800,762159","11400,76216"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,ABONNEMENT 10 VIDEOS,,,,10,,,,,ABONNEMENT 30 VIDEOS,,,,30,,
,,"14,99",,,,BRUT,2%,,,,"24,99",,,,BRUT,2%,
,10,"149,9",,,10,"17,783032","18,083032",,,10,"249,9",,,10,"18,083032","15,79203816",
,,"-27,93032","-127,93032",,30,"8,388587556","18,38858756",,,,"69,06968","-30,93032",,30,"8,388587556","28,49969867",
,30,"449,7",,,160,"3,1545945","13,1545945",,,30,"749,7",,,160,"7,1299969","17,1299969",
,,"198,0423733","-101,9576267",,660,"3,398007731","13,39800773",,,,"498,0423733","-105,29096",,660,"7,273882058","17,27388206",
,160,"2398,4",,,,,,,,160,"3998,4",,,,,,
,,"1893,66488","293,66488",,,,,,,,"2857,600496","1257,600496",,,,,
,660,"9893,4",,,,,,,,660,"16493,4",,,,,,
,,"7650,714897","1050,714897",,,,,,,,"11692,63784","5092,637841",,,,,